Comment,Polarity,Sentiment
"Yeah because empire strikes back was so terrible, get real.",-0.26666666666666666,Negative
Thanks Matt movies are too expensive to any time on . I appreciate the tip Joker 2 👎,-0.15,Negative
Well stated! Couldn&#39;t agree more!,0.625,Positive
"On a 190 budget , the film would need to make 380 just break even",0.0,Neutral
HBO s Pinguin is good,0.7,Positive
"Wow. So, so true! Great sequels are almost ALWAYS conceived of as a immediate continuation of the 1st film:<br><br>1) ROCKY 1 and 2<br><br>2) TERMINATOR 1 and 2<br><br>3) ALIEN and ALIENS<br><br>4) Godfather 1 and 2<br><br>Some clear exceptions are Dark Knight trilogy and Psycho 2. Psycho came out in 1960 and Psycho 2 came out in 1983 😀",0.1729166666666667,Positive
"Joker was a brilliant ripoff/reimagining of an underrated Scorcese film called The King of Comedy. This was hardly a kept secret given Robert de Niro&#39;s inclusion, but I assume the audience was overwhelmibly ignorant of its source material. It&#39;s not surprising that Phillips couldn&#39;t pull this off twice in a row. Maybe there are failed treatments in which Arthur locks horns with the US Government and PanAm or becomes the next Dalai Lama and flees a Maoist invasion of Tibet... there just aren&#39;t that many Scorcese flicks to pilfer so seamlessly.",-0.005208333333333325,Negative
I avoid anything lady Gaga is involved with. She’s evil.,-1.0,Negative
I’m waiting for it to come out on streaming,0.0,Neutral
"Was Terminator 2 originally planned? If not, exhibit A.",0.375,Positive
"Well Rocky was hardly greenlit in the first place, in think it’s safe to say the sequels weren’t planned at all.",0.15277777777777776,Positive
John Wick movies suck too,0.0,Neutral
"I&#39;ve never watched the first one, didn&#39;t plan on watching this one either, but my son went to see it and he said it was horrible.",-0.375,Negative
Wait… so a super conservative political commentator doesn’t like a movie starring Lady Gaga? 🤔,0.16666666666666666,Positive
Star Trek II is the outlier being a far better movie than the first or any after that of the series.,0.2833333333333333,Positive
Aren&#39;t you supposed to be &quot;defeating&quot; mentally ill people in debates??  Isn&#39;t that how you make your living?,-0.5,Negative
Would Toy Story 2 be a good example of being a good sequel born only because of the first movie&#39;s success?,0.39,Positive
"<a href=""https://www.youtube.com/watch?v=TYdAwMw37xw&amp;t=183"">3:03</a> exception to the rule of sequel: Aliens.",0.0,Neutral
Tim Dillion ruined it!!  We wish him well. .  .  🙏🕊,0.0,Neutral
"<a href=""https://www.youtube.com/watch?v=TYdAwMw37xw&amp;t=183"">3:03</a> exception to the rule of great sequel: Terminator 2.",0.8,Positive
The number 1 key question the ask is; what ethnicity is Todd Phillips?? <br><br>It&#39;ll soon make sense if you look it up.,0.0,Neutral
Joker was amazing. Why a sequel? There is no sequel,0.6000000000000001,Positive
Musicals suck. No straight man wants to see a musical.,0.03333333333333333,Positive
Especially woke musicals.  No thanks,-0.05,Negative
I hate musicals,-0.8,Negative
82% drop at this point I believe,0.0,Neutral
Hi Matt. We agree !,0.0,Neutral
It got a 85% drop.,0.0,Neutral
"It’s content creators like YOU that has ruined the movie industry; telling people what to think and why, and it’s driven by making money. You make these videos to make money, so you are bloodsucking money from Hollywood and our cultures enjoyment of movies",0.0,Neutral
I am eager to see Matt&#39;s reaction to Terrifier 3,0.0,Neutral
The movie is amazing and completely in sync with the first one.,0.3166666666666667,Positive
Terminator 2 was successful,0.75,Positive
They don&#39;t think their audience is dumb and unsophisticated. They know damn well that they are. A huge segment of American citizens are some of the dumbest people in existence and they love this hollywod crap and think they are so smart and special when they like a film no one else does.,0.04234693877551021,Positive
I went to the movies with my son to watch this movie and we walked out after 45 minutes.   It was unbearable and the singing...cringe.  It was awful.  At least we got to eat popcorn and nachos. <br>Why and how?  No clue.,-0.65,Negative
The Hangover comes to mind as a movie that has good sequels despite probably not being planned from the beginning,0.7,Positive
Outlier is Top Gun Maverick.,0.5,Positive
"I don&#39;t think ALIENS was planned when Ridley Scott made ALIEN, was it? Yet it was a great sequel!",0.375,Positive
"Matt is spot on. Sequels always suck unless they were planned as part of a series with the original movie. Sequels that happen just because the first film is successful always suck. Sequels that happen when the original move sucked, like Joker did, those ones really really suck.",0.39,Positive
"There&#39;s a foundational element here.  Why was the first one so popular?  Good LORD what an awful movie that was.  I cannot believe I went to see it and sat through it.  I thought it was going to be a fresh take on the Joker, and it was alright.  Fresh cr@p. You started to feel bad for the character in the first movie, he had a bleak life and was bullied constantly.  The first part of the movie was good, where there is a glimmer of hope with a new girlfriend and a chance he may claw up to some level of normalcy.  I was thinking that something awful was going to happen to that girlfriend, and push the guy over the edge of madness and become the Joker.  But no, that intriguing storyline drops, as it was all just a dream!  He goes on being shoved around, murders some people, then kills a talk show guy on the air. No excitement, no suspense, nothing.   Riots ensue.  End of movie.  WTF?  What a POS that was.  Yet, it was some kind of hit.  One thing it shared with the Heath Ledger version that was annoying as well.  These origin stories are supposed to show how a character got to where they are.  In the Ledger film, one questions, how could an evil super-villain run a successful criminal enterprise using people from mental institutions, and stay one step ahead of the cops?  Why would he have any followers if he indiscriminately kills them?  In the previous Joaquin Phoenix Joker movie, how could a mental midget like this guy ever potentially get ANYWHERE as a master criminal?<br><br>So the producers of that dreck think, hey, we got something here.  And turn it into a musical.  Frankly, I am surprised it failed.  There were enough idiots (unfortunately I was an idiot to give it a try) to see the first one-<del>probably many people multiple times to get those kinds of numbers-</del> and loved the first one, why wouldn&#39;t this work?  <br><br>Jeez.  I just gave up.  No more superhero movies for me, no more character origin films, no more at all, even if one comes out that seems intriguing.",-0.06842202512934221,Negative
Zombie Land 2,0.0,Neutral
The first film was the conservative version the second film was the liberal version That&#39;s why it sucked,0.125,Positive
"I hate marvel and DC, so I block out everything related. I just rolled me eyes when I seen ANOTHER repeat marvel superhero.",-0.4,Negative
"I never liked the first one either lol. I don&#39;t know why.<br><br>I guess it just ruins the Batman vibe for me by turning it into something else entirely. Like if it&#39;s a deep psycholigical thing ENTIRELY with none of the Batman fantasy, just make it separated from Batman and name it the Clown or something idk lol.",0.175,Positive
Road Warrior? That was one of the greatest sequels ever.,1.0,Positive
Texas Chainsaw Massacre- Next Generation was excellent.,0.5,Positive
Matt I completely agree with your assessment of how the movie industry views it audiences in general however I would further go on to say that their assumption is not without merit. As Exhibit A I present the whole Fast and Furious franchise.,0.09166666666666667,Positive
there&#39;s a new joker movie? i had no idea. sounds like they&#39;ve completely run out of new ideas,0.12424242424242422,Positive
"Joaquin Phoenix had not problem with Joker dying at the end of this, because it means nobody will come along and try to talk him into a 3rd movie!",0.0,Neutral
You should have just come on here and shit in a bucket if this was really an honest review.,0.19999999999999998,Positive
"I saw the first movie and hated it, I was conned by the advertising that&#39;s why I went. There was no way I would even contemplate seeing the sequel. Perhaps I wasn&#39;t Robinson Crusoe and maybe many people like myself wouldn&#39;t dream of seeing it. Thanks for your critique on this movie, it sounds awful.",-0.19,Negative
"<a href=""https://www.youtube.com/watch?v=TYdAwMw37xw&amp;t=180"">3:00</a> Puss in boots 2 is one of the best family movies of all time.  The first was a stale and uninspired cashin.",0.0625,Positive
It’s not folie a deux if Harley was just a fan girl and wasn’t even in the delusion. The Joker wasn’t swept up in the delusion either because he proved otherwise in the final court scene when he admits he’s just Arthur. They made Joker and Harley clowns which seemed like it’s intended purpose. I don’t think they completely missed the mark but Like Matt said “It hates the people who are watching it” “The people telling the story didn’t think it was worth telling” 🎯,0.13333333333333333,Positive
How does this incel channel get in my timeline?  YT please stop promoting molestor vibe red pill losers,-0.1,Negative
It was lousy. <br>Nothing like the first one at all. <br>Those are 2 hours of my life I&#39;ll never get back.,-0.08333333333333333,Negative
"Alien and aliens, one example I can’t think of.",-0.25,Negative
Yes yes it was,0.0,Neutral
Exception: Terminator 2,0.0,Neutral
"Margo Robbie as Harley, I might check it out.  Gaga........Nope.",0.0,Neutral
"Ah, a redistribution of wealth...",0.0,Neutral
Terminator 2 was a huge success. Pretty sure it wasnt planned,0.36250000000000004,Positive
"De Zero is in it, don&#39;t need to watch.",0.0,Neutral
"82% drop. Well, I hated the first one. So I am glad.",-0.05000000000000001,Negative
What a waste of resource!,-0.25,Negative
It&#39;s a great movie. And it shows the only possible logical course of events. Those who hate it never understood the 1st movie.,0.05,Positive
"Todd Phillips intended a big &quot;f&amp;ck you&quot; to everyone, and he&#39;s getting a bigger one back.",0.0,Neutral
Joker 2 is the sequel that nobody wanted. The fact that Lady Gaga is in the movie is a recipe for disaster. These are the reasons why Joker 2 sucked.,0.0,Neutral
They gave you 2 Joker movies and NONE of them are actually about the Joker 😂😂😂,0.0,Neutral
I wonder how much they paid lady gaga,0.2,Positive
"Oh, fuck the Joker. I&#39;m sick of seeing him. Batman has other villains to fight",-0.4130952380952381,Negative
Aliens,0.0,Neutral
"Back to the Future would be your example.  They never planned to make more than one, and while the second one did have a few hiccups as a result, overall, they were great.  One of my personal favorite movie trilogies of all time.",0.17777777777777778,Positive
"terminator 2, Alines... 2 examples of not planned sequel that are awesome",1.0,Positive
These were never Joker movies.,0.0,Neutral
"What a joke! And you put a musician no, Lady Gaga, a plate of feces, in the movie! You are going to starve😂🤣",0.0,Neutral
"<a href=""https://www.youtube.com/watch?v=TYdAwMw37xw&amp;t=181"">3:01</a> Back to the Future 2 is an unintuative example. The ending of the first movie was actually done as a joke, but the movie was so successful that the studio demanded a sequel, so then the plans for the next 2 movies were laid down. I believe the creator said that if he&#39;d known there&#39;d be a sequel, he wouldn&#39;t have put Marty&#39;s girlfriend in the car at the end of the first one.",0.13680555555555557,Positive
Folie à deux is also a Fall out boy album,0.0,Neutral
Bad boys 2 is the rare one.,-0.19999999999999993,Negative
Someone said that the joker got bum*ed at the end. Is that true?😮,0.0,Neutral
Did the fan that killed the Joker yell &quot;This is MAGA country!&quot; before he did it?,-0.2,Negative
65%??<br><br>Haha. They wish. Try 82% 😂,0.0,Neutral
Joker 2 sucks de la fucks,-0.3,Negative
"I&#39;m at the point now where I don&#39;t care what Hollywood does, says, or makes. I could not care less.",-0.16666666666666666,Negative
"Terminator II and Aliens are examples of follow up that hold their own. So, if you wanna make a sequel perhaps call James Cameron.",0.6,Positive
"Rambo 2 was good, die hard 2 was good.... but yes the ball never bounces as high as the first bounce",0.30366666666666664,Positive
We&#39;ve seen this movie taxi driver,0.0,Neutral
Aliens. Terminator 2.,0.0,Neutral
Originally unplanned sequels that are great are not so hard to come by:<br>- T2<br>- Ghost Busters 2<br>- Aliens<br>- Toy Story 2<br>...,0.29444444444444445,Positive
"I&#39;m a 58 year old with Aspergers Syndrome,  a form of a autism that is basically on the spectrum. I can&#39;t socialize very well and because of that,  I never married. One of the symptoms of Aspergers is that the person with Aspergers knows a lot about a single subject such as doorknobs,  washing machines or something people not on the spectrum find interesting such as music, art, sports or, like me, movies. The downside about obsessing over movies is that I never liked Quentin Tarantino because I saw the same movies that he did so I knew from the start that he was an artistic poacher. I used to respect his view about Ideology was going too far in Hollywood and leaving their imprints on modern film. He and I agree that the 80s was an artistic low point for movies and movies today are outdoing the 80s when it comes to lack of artistic integrity.  <br>Now, he backs Harris,  who is part of Ideology in cinema,  so I don&#39;t take Tarantino very seriously.  He also disrespected one of my favorite Horror films, &quot;Phantasm&quot;. On a brighter note, he won&#39;t make a movie about a tall man from another dimension,  who runs a funeral home and re-animates dead people to make them slaves in his home dimension. <br>When the screenwriters and actors were on strike,  I thought that the movie companies should have re-released older films so  that people could get to see &quot;Jaws&quot; , &quot;The Godfather &quot; or Ben-Hur on a big screen where they should be viewed.",0.07001133786848072,Positive
American audiences can&#39;t handle a European approach to filmmaking,0.0,Neutral
exception is the sonic movies,0.0,Neutral
